old,new,kind,status,note
/2011/07/agile-game-incubator-agile-games-2011/,/2011/07/agile-game-incubator-agile-games-2011/,artikel,EXACT,
/2011/07/agile-game-incubator-online/,/2011/07/agile-game-incubator-online/,artikel,EXACT,
/2011/07/dodontisisnt/,/2011/07/dodontisisnt/,artikel,EXACT,
/2011/07/dodontisisnt/dodontisisnt/,/2011/07/dodontisisnt/,attachment,REDIRECT,301 · 1 hop
/2011/07/dodontisisnt/dodontisisnt/feed/,/2011/07/dodontisisnt/,feed,REDIRECT,301 · 1 hop
/2011/07/dodontisisnt/feed/,/2011/07/dodontisisnt/,feed,REDIRECT,301 · 1 hop
/2011/07/how-now-wow-matrix/,/2011/07/how-now-wow-matrix/,artikel,EXACT,
/2011/07/how-now-wow-matrix/feed/,/2011/07/how-now-wow-matrix/,feed,REDIRECT,301 · 1 hop
/2011/07/impact-effort-matrix/,/2011/07/impact-effort-matrix/,artikel,EXACT,
/2011/07/impact-effort-matrix/feed/,/2011/07/impact-effort-matrix/,feed,REDIRECT,301 · 1 hop
/2011/07/proscons-game/,/2011/07/proscons-game/,artikel,EXACT,
/2011/07/proscons-game/feed/,/2011/07/proscons-game/,feed,REDIRECT,301 · 1 hop
/2011/07/swot-analysis-game/,/2011/07/swot-analysis-game/,artikel,EXACT,
/2011/07/the-big-payoff/,/2011/07/the-big-payoff/,artikel,EXACT,
/2011/07/the-big-payoff/feed/,/2011/07/the-big-payoff/,feed,REDIRECT,301 · 1 hop
/2011/08/circles-and-soup/,/2011/08/circles-and-soup/,artikel,EXACT,
/2011/08/circles-and-soup/comment-page-1/,/2011/08/circles-and-soup/,reactiepagina,REDIRECT,301 · 1 hop
/2011/08/circles-and-soup/feed/,/2011/08/circles-and-soup/,feed,REDIRECT,301 · 1 hop
/2011/08/learning-matrix/,/2011/08/learning-matrix/,artikel,EXACT,
/2011/08/learning-matrix/feed/,/2011/08/learning-matrix/,feed,REDIRECT,301 · 1 hop
/2011/08/merrill-covey-matrix/,/2011/08/merrill-covey-matrix/,artikel,EXACT,
/2011/08/zhong-zhi-a-one-handed-agile-game-for-illustrating-problems-and-finding-solutions/,/2011/08/zhong-zhi-a-one-handed-agile-game-for-illustrating-problems-and-finding-solutions/,artikel,EXACT,
/2011/10/continuous-integration-with-lego/,/2011/10/continuous-integration-with-lego/,artikel,EXACT,
/2011/10/continuous-integration-with-lego/comment-page-1/,/2011/10/continuous-integration-with-lego/,reactiepagina,REDIRECT,301 · 1 hop
/2011/10/continuous-integration-with-lego/feed/,/2011/10/continuous-integration-with-lego/,feed,REDIRECT,301 · 1 hop
/2011/10/continuous-integration-with-lego/finished-cube-real-1/,/2011/10/continuous-integration-with-lego/,attachment,REDIRECT,301 · 1 hop
/2011/10/continuous-integration-with-lego/finished-cube-real-1/feed/,/2011/10/continuous-integration-with-lego/,feed,REDIRECT,301 · 1 hop
/2011/10/continuous-integration-with-lego/finished-cube-real-2/,/2011/10/continuous-integration-with-lego/,attachment,REDIRECT,301 · 1 hop
/2011/10/continuous-integration-with-lego/finished-cube-real-2/feed/,/2011/10/continuous-integration-with-lego/,feed,REDIRECT,301 · 1 hop
/2011/10/continuous-integration-with-lego/finished-cube-real-3/,/2011/10/continuous-integration-with-lego/,attachment,REDIRECT,301 · 1 hop
/2011/10/continuous-integration-with-lego/finished-cube-real-3/feed/,/2011/10/continuous-integration-with-lego/,feed,REDIRECT,301 · 1 hop
/2011/10/continuous-integration-with-lego/finished-cube-real-4/,/2011/10/continuous-integration-with-lego/,attachment,REDIRECT,301 · 1 hop
/2011/10/continuous-integration-with-lego/finished-cube-real-4/feed/,/2011/10/continuous-integration-with-lego/,feed,REDIRECT,301 · 1 hop
/2011/10/mitch-lacey-team-prioritization/,/2011/10/mitch-lacey-team-prioritization/,artikel,EXACT,
/2011/10/pairing-for-non-programmers/,/2011/10/pairing-for-non-programmers/,artikel,EXACT,
/2011/10/pairing-for-non-programmers/comment-page-1/,/2011/10/pairing-for-non-programmers/,reactiepagina,REDIRECT,301 · 1 hop
/2011/10/pairing-for-non-programmers/feed/,/2011/10/pairing-for-non-programmers/,feed,REDIRECT,301 · 1 hop
/2011/11/human-knot/,/2011/11/human-knot/,artikel,EXACT,
/2011/11/human-knot/feed/,/2011/11/human-knot/,feed,REDIRECT,301 · 1 hop
/2011/12/circles-of-influence/,/2011/12/circles-of-influence/,artikel,EXACT,
/2011/12/values-driven-retrospective-game/,/2011/12/values-driven-retrospective-game/,artikel,EXACT,
/2011/12/values-driven-retrospective-game/feed/,/2011/12/values-driven-retrospective-game/,feed,REDIRECT,301 · 1 hop
/2012/01/agile-games-2012-call-for-games/,/2012/01/agile-games-2012-call-for-games/,artikel,EXACT,
/2012/02/is-it-ragu-or-bolognese/,/2012/02/is-it-ragu-or-bolognese/,artikel,EXACT,
/2012/02/multitasking-game-handsnumberssong/,/2012/02/multitasking-game-handsnumberssong/,artikel,EXACT,
/2012/02/multitasking-game-handsnumberssong/feed/,/2012/02/multitasking-game-handsnumberssong/,feed,REDIRECT,301 · 1 hop
/2012/02/nobodys-perfct/,/2012/02/nobodys-perfct/,artikel,EXACT,
/2012/02/nobodys-perfct/comment-page-1/,/2012/02/nobodys-perfct/,reactiepagina,REDIRECT,301 · 1 hop
/2012/02/nobodys-perfct/feed/,/2012/02/nobodys-perfct/,feed,REDIRECT,301 · 1 hop
/2012/02/you-sunk-my-methodology/,/2012/02/you-sunk-my-methodology/,artikel,EXACT,
/2012/02/you-sunk-my-methodology/feed/,/2012/02/you-sunk-my-methodology/,feed,REDIRECT,301 · 1 hop
/2012/03/fearless-journey-the-game-that-gets-your-team-unstuck/,/2012/03/fearless-journey-the-game-that-gets-your-team-unstuck/,artikel,EXACT,
/2012/03/job-or-joy/,/2012/03/job-or-joy/,artikel,EXACT,
