from,to,status,reason
/2012/08/kanban-tetris/feed/,/2012/08/kanban-tetris/,301,attachmentpagina
/2012/08/wellbeing-north-star/feed/,/2012/08/wellbeing-north-star/,301,attachmentpagina
/2012/09/the-domino-effect/feed/,/2012/09/the-domino-effect/,301,attachmentpagina
/2012/10/balloon-animals/balloon-twisting-tips/,/2012/10/balloon-animals/,301,attachmentpagina
/2012/10/balloon-animals/balloon-twisting-tips/feed/,/2012/10/balloon-animals/,301,attachmentpagina
/2012/10/balloon-animals/comment-page-1/,/2012/10/balloon-animals/,301,legacy URL
/2012/10/balloon-animals/feed/,/2012/10/balloon-animals/,301,attachmentpagina
/2012/10/balloon-animals/the-balloon-dog/,/2012/10/balloon-animals/,301,attachmentpagina
/2012/10/balloon-animals/the-balloon-dog/feed/,/2012/10/balloon-animals/,301,attachmentpagina
/2012/10/balloon-animals/the-basic-hat/,/2012/10/balloon-animals/,301,attachmentpagina
/2012/10/balloon-animals/the-basic-hat/feed/,/2012/10/balloon-animals/,301,attachmentpagina
/2012/10/balloon-animals/the-sword/,/2012/10/balloon-animals/,301,attachmentpagina
/2012/10/balloon-animals/the-sword/feed/,/2012/10/balloon-animals/,301,attachmentpagina
/2012/10/celebrity-prioritisation/comment-page-1/,/2012/10/celebrity-prioritisation/,301,legacy URL
/2012/10/celebrity-prioritisation/feed/,/2012/10/celebrity-prioritisation/,301,attachmentpagina
/2012/10/free-market-prioritisation/comment-page-1/,/2012/10/free-market-prioritisation/,301,legacy URL
/2012/10/free-market-prioritisation/feed/,/2012/10/free-market-prioritisation/,301,attachmentpagina
/2012/10/movements-of-a-hypnotic-nature/feed/,/2012/10/movements-of-a-hypnotic-nature/,301,attachmentpagina
/2012/10/once-upon-a-time-in-legoland/feed/,/2012/10/once-upon-a-time-in-legoland/,301,attachmentpagina
/2012/10/the-blame-game/feed/,/2012/10/the-blame-game/,301,attachmentpagina
/2012/10/the-sprint-mural/comment-page-1/,/2012/10/the-sprint-mural/,301,legacy URL
/2012/10/the-sprint-mural/feed/,/2012/10/the-sprint-mural/,301,attachmentpagina
/2012/10/thirty-five/attachment/35/,/2012/10/thirty-five/,301,attachmentpagina
/2012/10/thirty-five/comment-page-1/,/2012/10/thirty-five/,301,legacy URL
/2012/10/thirty-five/feed/,/2012/10/thirty-five/,301,attachmentpagina
/2012/11/questions-only/comment-page-1/,/2012/11/questions-only/,301,legacy URL
/2012/11/questions-only/feed/,/2012/11/questions-only/,301,attachmentpagina
/2012/11/tdd-test-driven-drawing/2012-11-06-10-23-07/,/2012/11/tdd-test-driven-drawing/,301,attachmentpagina
/2012/11/tdd-test-driven-drawing/2012-11-06-10-23-07/feed/,/2012/11/tdd-test-driven-drawing/,301,attachmentpagina
/2012/11/tdd-test-driven-drawing/2012-11-06-10-23-14/,/2012/11/tdd-test-driven-drawing/,301,attachmentpagina
/2012/11/tdd-test-driven-drawing/2012-11-06-10-23-14/feed/,/2012/11/tdd-test-driven-drawing/,301,attachmentpagina
/2012/11/tdd-test-driven-drawing/2012-11-06-10-40-29/,/2012/11/tdd-test-driven-drawing/,301,attachmentpagina
/2012/11/tdd-test-driven-drawing/2012-11-06-10-40-29/feed/,/2012/11/tdd-test-driven-drawing/,301,attachmentpagina
/2012/11/tdd-test-driven-drawing/feed/,/2012/11/tdd-test-driven-drawing/,301,attachmentpagina
/2012/11/tdd-test-driven-drawing/screen-shot-2012-11-07-at-22-01-41/,/2012/11/tdd-test-driven-drawing/,301,attachmentpagina
/2012/11/tdd-test-driven-drawing/screen-shot-2012-11-07-at-22-01-41/feed/,/2012/11/tdd-test-driven-drawing/,301,attachmentpagina
/2012/11/three-headed-expert/comment-page-1/,/2012/11/three-headed-expert/,301,legacy URL
/2012/11/three-headed-expert/feed/,/2012/11/three-headed-expert/,301,attachmentpagina
/2012/11/werewolf-facilitation/feed/,/2012/11/werewolf-facilitation/,301,attachmentpagina
/2012/12/take-the-win-win-wave/feed/,/2012/12/take-the-win-win-wave/,301,attachmentpagina
/2013/02/52-card-pickup/feed/,/2013/02/52-card-pickup/,301,attachmentpagina
/2013/02/copycats-2/feed/,/2013/02/copycats-2/,301,attachmentpagina
/2013/02/the-herculean-doughnut/comment-page-1/,/2013/02/the-herculean-doughnut/,301,legacy URL
/2013/02/the-herculean-doughnut/feed/,/2013/02/the-herculean-doughnut/,301,attachmentpagina
/2013/03/8-monkeys-in-a-cage-–-a-mura-learning-game/comment-page-1/,/2013/03/8-monkeys-in-a-cage-–-a-mura-learning-game/,301,legacy URL
/2013/04/communication-race/feed/,/2013/04/communication-race/,301,attachmentpagina
/2013/04/e-w-a-n-mcgregor/feed/,/2013/04/e-w-a-n-mcgregor/,301,attachmentpagina
/2013/04/the-risk-is-in-the-blocks/comment-page-1/,/2013/04/the-risk-is-in-the-blocks/,301,legacy URL
/2013/04/the-risk-is-in-the-blocks/feed/,/2013/04/the-risk-is-in-the-blocks/,301,attachmentpagina
/2013/05/the-penny-game/comment-page-1/,/2013/05/the-penny-game/,301,legacy URL
/2013/05/the-penny-game/feed/,/2013/05/the-penny-game/,301,attachmentpagina
/2013/07/francais-99-ballons-de-test/feed/,/2013/07/francais-99-ballons-de-test/,301,attachmentpagina
/2013/07/moodgraph/feed/,/2013/07/moodgraph/,301,attachmentpagina
/2013/08/software-kanban-games/event-cards/,/2013/08/software-kanban-games/,301,attachmentpagina
/2013/08/software-kanban-games/event-cards/feed/,/2013/08/software-kanban-games/,301,attachmentpagina
/2013/08/software-kanban-games/expedite-story-cards/,/2013/08/software-kanban-games/,301,attachmentpagina
/2013/08/software-kanban-games/expedite-story-cards/feed/,/2013/08/software-kanban-games/,301,attachmentpagina
/2013/08/software-kanban-games/feed/,/2013/08/software-kanban-games/,301,attachmentpagina
/2013/08/software-kanban-games/fixed-date-story-cards/,/2013/08/software-kanban-games/,301,attachmentpagina
/2013/08/software-kanban-games/fixed-date-story-cards/feed/,/2013/08/software-kanban-games/,301,attachmentpagina
/2013/08/software-kanban-games/standard-story-cards/,/2013/08/software-kanban-games/,301,attachmentpagina
/2013/08/software-kanban-games/standard-story-cards/feed/,/2013/08/software-kanban-games/,301,attachmentpagina
/2013/09/line-up/feed/,/2013/09/line-up/,301,attachmentpagina
/2013/09/mind-reading/comment-page-1/,/2013/09/mind-reading/,301,legacy URL
/2013/09/mind-reading/feed/,/2013/09/mind-reading/,301,attachmentpagina
/2013/09/mind-reading/mind-reader-game-elinor-slomba-with-independent-software-team/,/2013/09/mind-reading/,301,attachmentpagina
